Name	Address	Town	State	Country	Phone	Website	Lat	Long	Rating	Type	File	Open	Review	
Athens International Airport	Attiki Odos, Spata Artemida 190 04, Greece	Athens	Attica	Grc	+30 21 0353 0000	www.aia.gr	37.9360923	23.9472883	3	Airport	aeroplane.png	Y	Felt like a regional airport, but reasonable facilities. Has a train that takes you to the city, which makes it better than Melbourne.	
Phenom Pehn International Airport	12000 Russian Federation Blvd, Phnom Penh, Cambodia	Phnom Penh	PP	Cmb	+855 23 862 800	www.pnh.cambodia-airports.aero	11.5526246	104.8449493	4	Airport	aeroplane.png	Y	Actually not too bad. Bookings only open a short time before flight leaves, but quite well decked out.	
Siem Reap International Airport	NR6, Krong Siem Reap, Cambodia	Siem Reap	Siem Reap	Cmb	+855 63 761 261	www.rep.cambodia-airports.aero	13.4072258	103.8144144	5	Airport	aeroplane.png	Y	Actually, quite a nice airport with decent facilities. You do walk across the tarmac, but that's expected for a regional airport.	
Don Mueang International Airport	222 Vibhavadi Rangsit Rd, Sanambin, Don Mueang, Bangkok 10210, Thailand	Don Mueang	Bangkok	Thai	+66 2 535 1192	www.airportthai.co.th	13.9145896	100.6024587	3	Airport	aeroplane.png	Y	Managed to cut through customs and passport control. Basically the airport where all the low cost carriers come in. The old train stops here, and there is a free shuttle bus to the other airport.	
Suvarnabhumi Airport	999 Soi Mu Ban Nakhon Thong 1, Nong Prue, Bang Phli District, Samut Prakan 10540, Thailand	Lat Krabang	Bangkok	Thai	+66 2 132 1888	www.airportthai.co.th	13.7000152	100.7073283	4	Airport	aeroplane.png	Y	Not a bad airport. Quite large, and can take a while to get around. Smaller carriers required you to take a bus to the plane. However not bad, and plenty of shops and places to grab a drink.	
Phuket International Airport	Mai Khao, Thalang District, Phuket 83110, Thailand	Thalang	Phuket	Thai	+66 76 351 122	www.airportthai.co.th	8.1113056	98.3072032	3	Airport	aeroplane.png	Y	Has been completely revamped since last here. Has a new domestic terminal and an international terminal. Carpark can be tricky to get out of though.	
Scenic World	Violet St &, Cliff Dr, Katoomba NSW 2780	Blue Mountains	NSW	Aus	(02) 4780 0200	www.scenicworld.com.au	-33.7287445	150.3011487	3	Amusement	amusement-park.png	Y	Interesting – an amusement park based around a national park.	
St Kilda Adventure Playground	470 St Kilda Rd, St Kilda SA 5110	Salisbury	SA	Aus	(08) 8406 8222	www.salisbury.sa.gov.au	-34.7409026	138.533119	5	Amusement	amusement-park.png	Y	An awesome way to spend an afternoon whether you had kids, or simply want to let your inner kid lose. Still have the pirate ship and the castle, however the maze has changed and they have closed the volcano.	
Sea World	Seaworld Dr, Main Beach QLD 4217	Surfers Paradise	Qld	Aus	13 33 86	www.seaworld.com.au	-27.9574083	153.4252295	2	Amusement	amusement-park.png	Y	Wasn’t as great as I expected. The dolphin and sea lion show was fun, but more a theme park as opposed to an animal sanctuary.	
Warner Bros Movie World	Pacific Mwy, Oxenford QLD 4210	Helensvale	Qld	Aus	13 33 86	www.movieworld.com.au	-27.9077165	153.31181	2	Amusement	amusement-park.png	Y	One of the first Theme Parks I visited. Not as great as it was the first time. Just rides and shows, and expensive food.	
Brighton Pier	Madeira Dr, Brighton BN2 1TW, UK	Brighton	England	UK	+44 1273 609361	www.brightonpier.co.uk	50.8151536	-0.1372205	2	Amusement	amusement-park.png	Y	Thought it was unique but turns out piers like these are pretty common.	
Fairy Park	Ballan Rd, Anakie VIC 3213	Geelong	Vic	Aus	+61 52841262	www.fairypark.com	-37.8916771	144.2593827	4	Amusement	amusement-park.png	Y	Old fashioned, but actually not too bad. Nowhere near as tacky as some have suggested.	
Universal Studios	8 Sentosa Gateway, Singapore 098269	Sentosa	SG	SG	+65 6577 8888	www.rwsentosa.com	1.2540714	103.8236317	2	Amusement	amusement-park.png	Y	Great if you love theme parks, but nothing all that special.	
Nhill Playground	Western Hwy, Nhill VIC 3418	Nhill	Vic	Aus	Nil	Nil	-36.3380497	141.645665	3	Amusement	amusement-park.png	Y	Used to play here as kids on our way to Melbourne.	
Talem Bend Playground	90 Railway Terrace, Tailem Bend SA 5260	Murray Bridge	SA	Aus	Nil	Nil	-35.2560309	139.456665	4	Amusement	amusement-park.png	Y	It’s got a train so it gets points for that.	
Beachouse, the	4 Colley Terrace, Glenelg SA 5045	Glenelg	SA	Aus	(08) 8295 1511	www.thebeachouse.com.au	-34.9792519	138.5113464	2	Amusement	amusement-park.png	Y	Honestly, I preferred Magic Mountain, even if it looked somewhat ugly.	
Dunstan Adventure Playground	Winchester St, St Peters SA 5069	Kent Town	SA	Aus	Nil	Nil	-34.8996833	138.6188999	3	Amusement	amusement-park.png	Y	Came here as a kid because it was an adventure playground. Not one of the best though.	
Dragon Park	3002 Victoria Parade, East Melbourne VIC 3002	Melbourne	Vic	Aus	(03) 9658 8008	www.fitzroygardens.com	-37.8118238	144.98174	5	Amusement	amusement-park.png	Y	Dragonslide – awesomeness.	
Fantasy Planet and Dinosaur Park	Jalan Cendearawashi, Tasik Perdana, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia	Perdana	KL	My	Nil	www.klbotanicalgarden.gov.my	3.1454741	101.6834883	2	Amusement	amusement-park.png	Y	Couldn't see any dinosaurs.	
Jungle River Cruise	Hong Kong Disneyland Resort, Hong Kong	Lantau	HK	China	Nil	www.hongkongdisneyland.com	22.3109273	114.0410603	4	Amusement	amusement-park.png	Y	Nice cruise around an island with jungle things dotted along the way	
Adventureland	Hong Kong Disneyland Resort, Hong Kong	Lantau	HK	China	Nil	www.hongkongdisneyland.com	22.3116844	114.0416352	3	Amusement	amusement-park.png	Y	One of Disney's three worlds	
Tarzan’s Treehouse	Hong Kong Disneyland Resort, Hong Kong	Lantau	HK	China	Nil	www.hongkongdisneyland.com	22.311315	114.0415893	1	Amusement	amusement-park.png	Y	Not entirely sure what the purpose of this place is for.	
Tomorrowland	Hong Kong Disneyland Resort, Hong Kong	Lantau	HK	China	Nil	www.hongkongdisneyland.com	22.3132161	114.041778	2	Amusement	amusement-park.png	Y	Reminds me of a really bad movie.	
Snow White Grotto	Hong Kong Disneyland Resort, Hong Kong	Lantau	HK	China	Nil	www.hongkongdisneyland.com	22.3127955	114.0410968	1	Amusement	amusement-park.png	Y	Nothing special	
Many Adventures of Winnie the Pooh	Hong Kong Disneyland Resort, Hong Kong	Lantau	HK	China	Nil	www.hongkongdisneyland.com	22.3127186	114.0405894	2	Amusement	amusement-park.png	Y	Okay if you like Winnie the Pooh. Not too rough but that is the case with most of Disneyland.	
Fantasyland	Hong Kong Disneyland Resort, Hong Kong	Lantau	HK	China	Nil	www.hongkongdisneyland.com	22.312581	114.0403521	3	Amusement	amusement-park.png	Y	Another one of the three lands in HK Disneyland.	
It’s a Small World	Hong Kong Disneyland Resort, Hong Kong	Lantau	HK	China	Nil	www.hongkongdisneyland.com	22.3135732	114.0388653	4	Amusement	amusement-park.png	Y	Enjoyable.	
Quarries Park Adventure Playground	Ramsden St & Field St, Clifton Hill VIC 3068	Clifton Hill	Vic	Aus	Nil	www.melbourneplaygrounds.com.au	-37.7905049	145.0036365	3	Amusement	amusement-park.png	Y	Keeps the kids out of trouble. Also has a skate park.	
Princes Park Children’s Playground	277 Bambra Rd, Caulfield South VIC 3162	Caulfield	Vic	Aus	Nil	Nil	-37.8934295	145.0232556	3	Amusement	amusement-park.png	Y	Not too bad. Good fun.	
EE Gunn Reserve Children’s Playground	Beatty Cres, Caulfield South VIC 3162	Caulfield	Vic	Aus	Nil	Nil	-37.8971723	145.0373885	4	Amusement	amusement-park.png	Y	Another rather nice place for children to play.	
Angkor Wat	Angkor Archaeological Park, Krong Siem Reap, Cambodia	Siem Reap	Siem Reap	Cmb	Nil	Nil	13.4124589	103.8669277	5	Angkor Wat	angkor-wat.png	Y	Very, very impressive. One of the oldest temples in the world.	
Sealife Aquarium Sunshine Coast	Parkyn Parade, Mooloolaba QLD 4557	Maroochydore	Qld	Aus	(07) 5458 6226	www.underwaterworld.com.au	-26.6830648	153.1216074	4	Aquarium	narwhal.png	Y	Pretty cool actually. Sea Lion show was awesome. Spent the whole day here.	
SEA Life Aquarium Sydney	1-5 Wheat Rd, Sydney NSW 2000	Sydney	NSW	Aus	1800 199 657	www.sydneyaquarium.com.au	-33.8699216	151.2016376	4	Aquarium	narwhal.png	Y	Not bad, and is coupled with other attractions as well, including Madame Tussards. Has a dugong and a couple of sharks, which are cool.	
Aquaria	Kuala Lumpur Convention Centre, Jalan Pinang, Kuala Lumpur City Centre, 50088 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia	KLCC	Kuala Lumpar	My	+60 3-2333 1888	www.aquariaklcc.com	3.1537181	101.7131034	3	Aquarium	narwhal.png	Y	Not a huge aquarium. It was okay, but not one of the best that I’ve visited.	
Brighton Aquarium	Marine Parade, Brighton BN2 1TB, UK	Brighton	England	UK	+44 871 226 6770	www.visitsealife.com	50.819613	-0.1358196	3	Aquarium	narwhal.png	Y	Another aquarium, but the old Elizabethan style does give it a bit of character.	
Sea Life Melbourne Aquarium	King St, Melbourne VIC 3000	Melbourne	Vic	Aus	1800 026 576	www.melbourneaquarium.com.au	-37.8206786	144.9581559	4	Aquarium	narwhal.png	Y	My brother loves this place, so I guess that is all that needs to be said. Still, it seems to change every time we come here.	
SEA Aquarium	8 Sentosa Gateway, Sentosa Island, Singapore 098269	Sentosa	SG	SG	Nil	www.rwsentosa.com	1.2582981	103.8203806	5	Aquarium	narwhal.png	Y	Great if you love fish. It is huge, and also has a museum of maritime trade attached.	
SEA LIFE Bangkok Ocean World	Siam Paragon Building, B1- B2 Floor 991 Rama I Rd, Pathum Wan, Pathum Wan District, Bangkok 10330, Thailand	Siam	Bangkok	Thai	+66 2 687 2000	www.sealifebangkok.com	13.7459643	100.5352091	4	Aquarium	narwhal.png	Y	Pretty much know what to expect. Still a pretty decent visit nonetheless.	
Dolphin’s Bar Phuket	33/50 Chalong, Mueang Phuket District, Phuket 83130, Thailand	Phuket Town	Phuket	Thai	+66 76 374 300	www.dolphinsbayphuket.com	7.8423196	98.3565363	1	Aquarium	narwhal.png	Y	I suspect that I'm just a little too old to watch dolphins performing tricks. I'd rather see them swimming about without having to perform for us humans. Also, I'm not sure if riding on the back of a dolphin is all that good for the dolphin.	
Phuket Aquarium	Village No. 8 51 Sakdidet Road Wichit, Mueang Phuket District, Phuket 83000, Thailand	Phuket Town	Phuket	Thai	+66 76 391 126	Nil	7.803963	98.4075412	5	Aquarium	narwhal.png	Y	Compared to some of the other attractions here, this place is pretty professional, though nowhere near as large as some aquariums.	
Arc de Triomphe	Place Charles de Gaulle, 75008 Paris, France	Paris	IDF	Fr	+33 1 55 37 73 77	www.monuments-nationaux.fr	48.8737771	2.2949993	5	Arc de Triomphe	arc-de-triomphe.png	Y	All I can say is that this place is awesome. You pay to go to the museum, and up to the top, but you can enjoy it just as much without paying a cent (which is what I've done both times here).	
Grande Arche de la Defense	1 Parvis de la Défense, 92800 Puteaux, France	Paris	IDF	Fr	Nil	Nil	48.8924458	2.2355481	2	Arc de Triomphe	arc-de-triomphe.png	Y	Looks like somebody tried to outdo every other monument in Paris - and failed miserably.	
Menin Gate	Menenstraat, 8900 Ieper, Belgium	Ypres	Flanders	Belg	+32 57 23 92 20	www.toerisme-ieper.be	50.8519706	2.8910187	5	Arc de Triomphe	arc-de-triomphe.png	Y	A memorial to all the commonwealth soldiers who died at Ypres. Has a ceremony every day at 8:00 pm to commemorate the fallen.	
Arch of Constantine	Via di San Gregorio, 00186 Roma RM, Italy	Rome	Roma	It	+39 06 0608	www.060608.it	41.8897627	12.4905866	3	Arc de Triomphe	arc-de-triomphe.png	Y	When Roman emperor's won wars they built arches. This commemorates Constantine defeating his enemies and becoming sole ruler of Rome.	
Arch of Rememberance	Esplanade, Brighton SA 5048, Australia	Brighton	SA	Aus	Nil	www.monumentaustralia.org.au	-35.017423	138.5143307	4	Arc de Triomphe	arc-de-triomphe.png	Y	The war memorial for the seaside suburb of Brighton.	
Memorial Arch at Eastern View	689/721 Great Ocean Rd, Eastern View VIC 3231	Lorne	Vic	Aus	Nil	Nil	-38.4719515	144.0443564	4	Arc de Triomphe	arc-de-triomphe.png	Y	The official start of the Great Ocean Road. Pretty cool.	
Wellington Arch	Apsley Way, London W1J 7JZ, United Kingdom	London	England	UK	+44 370 333 1181	www.english-heritage.org.uk	51.502558	-0.1508806	3	Arc de Triomphe	arc-de-triomphe.png	Y	Very Roman. No doubt commemorates Wellington’s victory over Napoleon.	
Marble Arch	Park Lane, London W2 2UH, United Kingdom	London	England	UK	Nil	Nil	51.5131732	-0.1589913	4	Arc de Triomphe	arc-de-triomphe.png	Y	Another arch, no doubt commemorating victory in battle.	
Arch of Titus	Via Sacra, 00186 Roma RM, Italy	Rome	Roma	It	Nil	Nil	41.8906898	12.4885325	3	Arc de Triomphe	arc-de-triomphe.png	Y	Titus obviously won a war as well.	
Plantentiun	Leopoldstraat 25, 2000 Antwerpen, Belgium	Brussells	Brussells	Belg	Nil	www.antwerpen.be	51.2143944	4.4065209	4	Astronomy	observatory.png	Y	A great little garden. Not as big as some, but still quite lovely. Great place to read a book.	
Atomium	Square de l'Atomium, 1020 Bruxelles, Belgium	Brussells	Brussells	Belg	+32 2 475 47 75	www.atomium.be	50.8949029	4.3415034	2	Atomium	atomium.png	Y	Basically a big metal thing with flashing lights and electronic music inside. Not all that fascinating actually.	
Cjs Pastries	14 Matthew Terrace, Caboolture QLD 4510	Caboolture	Qld	Aus	(07) 5495 2558	www.cjspastries.com.au	-27.0832794	152.952853	5	Bakery	loaf.png	Y	Great service. Open 24 hours. Excellent range of snacks. I just loved the staff. More that willing to help.	
Flying Loaf Bakery	14 Edwardes St, Reservoir VIC 3073	Preston	Vic	Aus	(03) 9462 2032	Nil	-37.7160638	145.0056063	4	Bakery	loaf.png	N	Pretty cool bakery. Lots of yummy sweet goods, and a decent coffee as well.	
Il Pasticino	64 Edwardes St, Reservoir VIC 3073	Preston	Vic	Aus	(03) 9469 2088	www.ilpasticcino.com.au	-37.7158788	145.0032104	4	Bakery	loaf.png	Y	Pretty nice cafe in the Reservoir. Probably actually my favourite. Huge selections of snacks, and does takeaway as well.	
Phil’s Bakehouse	72 High St, Northcote VIC 3070	Northcote	Vic	Aus	(03) 9481 8445	Nil	-37.7805036	144.99688	3	Bakery	loaf.png	Y	Nice bakery with lots of goodies. Coffees not bad either.	
Waack’s Bakery	172/168 Barkly St, Ararat VIC 3377	Ararat	Vic	Aus	(03) 5352 1618	www.waacksbakery.com.au	-37.283817	142.930905	3	Bakery	loaf.png	Y	Nice place, but a shame breakfast finished at 11:00 am. Pies were nice.	
Whittlesea Bakehouse	34 Church St, Whittlesea VIC 3757	Whittlesea	Vic	Aus	(03) 9716 1318	Nil	-37.5128658	145.118171	4	Bakery	loaf.png	Y	Pretty nice place to grab a coffee. Tea selection is non-existent. However the number of cakes makes up for that.	
Whisk Patisserie	95 Goodwood Rd, Goodwood SA 5034	Goodwood	SA	Aus	(08) 8357 0335	www.whiskpatisserie.com.au	-34.950309	138.5896331	3	Bakery	loaf.png	Y	Not a bad place. Has a nice inner charm decorated with sixties antiques. Great selection of cakes. Unfortunately the tea had a bit of a bite to it which was somewhat annoying.	
Rapid Bay Jetty	St Vincent St, Gulfview Heights SA 5096	Normanville	SA	Aus	Nil	Nil	-35.5241354	138.1902566	3	Bakery	loaf.png	Y	Somewhat better, and a little quieter. More facilities as well.	
Port Wakefield Bakery	1 Edward St, Port Wakefield SA 5550	Port Wakefield	SA	Aus	(08) 8867 1138	www.portwakefield.sa.au	-34.1855087	138.1532942	3	Bakery	loaf.png	Y	This is where all the action’s at. Quite a nice and charming bakery.	
Depot du Pain	693 Rathdowne St, Carlton North VIC 3054	Carlton	Vic	Aus	(03) 9349 1311	Nil	-37.7886507	144.9715982	4	Bakery	loaf.png	N	Pretty cool. Great service, and nice pot of tea. Actually more a French patiscierie.	
Clock Tower Patisserie	1/111 Beaumont St, Hamilton NSW 2303	Newcastle	NSW	Aus	(02) 4965 4005	Nil	-32.9231804	151.7471426	3	Bakery	loaf.png	Y	Nothing too fancy. Just a standard cafe on the main shopping strip.	
Suffolk Park Bakery	shop 1/2 Clifford St, Suffolk Park NSW 2481	Byron Bay	NSW	Aus	(02) 6685 3471	www.suffolkbakery.com	-28.6894979	153.6083786	3	Bakery	loaf.png	Y	Felt like the only bakery in town. Fairly average. Okay tea.	
Blues Central Coffee Shop	3/20 Tallarook St, Seymour VIC 3660	Seymour	Vic	Aus	(03) 5799 0110	Nil	-37.0235988	145.1334449	2	Bakery	loaf.png	Y	Nothing all that special. Doesn’t do breakfast.	
Heywood Bakery	53 Edgar St, Heywood VIC 3304	Portland	Vic	Aus	(03) 5527 2206	Nil	-38.131623	141.6295739	4	Bakery	loaf.png	Y	Can make your own sandwiches with proper sliced bread. Tea was nice, and good selection of pies as well. Good place to stop.	
Ah Teng's Bakery	1 Beach Rd, Singapore 189673	Bras Basah	SG	SG	+65 6412 1816	Nil	1.2950394	103.8535657	4	Bakery	loaf.png	Y	The Raffle's bakery that makes some seriously good coffee.	
Backer Eifler, der	Hauptbahnhof, Im, Mannheimer Str., 60329 Frankfurt am Main, Germany	Frankfurt	Hesse	De	+49 69 27108974	www.der-baecker-eifler.de	50.1059552	8.6639951	1	Bakery	loaf.png	Y	Lots of bready goodness, but the coffee was rubbish.	
BackWerk	Trankgasse 11, 50667 Köln, Germany	Cologne	Westphalia	De	+49 221 1260044	www.back-werk.de	50.9432568	6.9583898	3	Bakery	loaf.png	Y	One of those chain stores, sort of like 7-11, that you see scattered about everywhere. Coffee okay but not fantastic. Lots of snacks.	
Lowy	Rue de Tabora 10, 1000 Bruxelles, Belgium	Brussells	Brussells	Belg	+32 2 512 15 19	www.lowy.be	50.84809	4.3515122	3	Bakery	loaf.png	Y	Reasonable little bakery that makes a nice coffee. Nothing flash though.	
Pasticceria Panifico Panella	Via Merulana, 54, 00185 Roma RM, Italy	Rome	Roma	It	+39 06 487 2435	www.panellaroma.com	41.894216	12.5007877	4	Bakery	loaf.png	Y	The place that was recommended to us was packed, so we came here instead.	
Paul	Rue des Fripiers 3/5, 1000 Bruxelles, Belgium	Brussells	Brussells	Belg	+32 2 217 25 25	www.paul-belgium.com	50.8484059	4.3519196	3	Bakery	loaf.png	Y	Nice bakery but still a chainstore. Coffee okay, croissants lovely.	
Sachsenhauser Freibackerei	Schweizer Str. 44, 60594 Frankfurt am Main, Germany	Frankfurt	Hesse	De	+49 69 97694012	www.sachsenhaeuser-feinbaeckerei.de	50.1027025	8.6797647	4	Bakery	loaf.png	Y	Gorgeous little place for some coffee and cake. The Germans certainly love their pretzels, and their bakeries. Also get a nice German style breakfast as well.	
Voigt Bäckerei & Konditorei	Bertha-von-Suttner-Platz 13, 53111 Bonn, Germany	Bonn	Westphalia	De	+49 228 18499955	www.baeckerei-voigt.de	50.7372176	7.1008932	2	Bakery	loaf.png	Y	Probably not bad for a bakery but only came here for the coffee and the coffee was attrocious. The cakes looked pretty yummy though.	
Wimmera Bakery	72/78 Lloyd St, Dimboola VIC 3414	Nhill	Vic	Aus	(03) 5389 1896	Nil	-36.4548391	142.0273727	3	Bakery	loaf.png	Y	Nice bakery that serves a huge pot of tea.	
Wimmera Bakery	16 Victoria St, Nhill VIC 3418	Nhill	Vic	Aus	(03) 5391 1395	Nil	-36.3335114	141.6489983	3	Bakery	loaf.png	Y	It was nice. Decent cup of tea, and not too pricey. Good selection of cakes as well.	
Echuca Riverloaf Bakery	145 Hare St, Echuca VIC 3564	Echuca	Vic	Aus	(03) 5480 3468	Nil	-36.1276569	144.7490618	3	Bakery	loaf.png	Y	A nice place for a spot of lunch. Not the best tea, but good range of pies.	
Malls Balls	100 Rundle Mall, Adelaide SA 5000	Adelaide	SA	Aus	(08) 8203 7200	www.rundlemall.com	-34.9227647	138.6031217	5	Balls	march.png	Y	The Heart and Soul of Adelaide, and the butt of many, many jokes.	
Maya Bay	Koh Phi Phi Le, Ko Phi Phi, Amphoe Mueang Krabi, Chang Wat Krabi 81000, Thailand	Phi Phi Island	Krabi	Thai	Nil	Nil	7.6782027	98.7584	4	Beach	beach.png	Y	Pretty crowded but great for snorkling.	
Eastern Beach Swimming Enclosure	Eastern Beach Rd, Geelong Vic 3220	Geelong	Vic	Aus	Nil	Nil	-38.1462022	144.3735038	4	Beach	beach.png	Y	Pretty Awesome swimming enclosure	
Street's Beach	Stanley St Plaza, South Brisbane QLD 4101	South Brisbane	Qld	Aus	(07) 3156 6366	www.visitbrisbane.com.au	-27.4782853	153.0233295	3	Beach	beach.png	Y	A beach in the middle of the city. Cool.	
Lover's Rock  	Tweed Heads NSW 2485	Coolangatta	Qld	Aus	Nil	Nil	-28.1647986	153.5516805	4	Beach	beach.png	Y	Always worried about a place called 'lover's rocks' Suggests it might have a rather sad story behind it. Still, great views.	
Bay of Islands, the	Great Ocean Road, Peterborough VIC 3270	Port Campbell	Vic	Aus	(03) 8627 4699	www.parkweb.vic.gov.au	-38.5797585	142.8214398	4	Beach	beach.png	Y	Much quieter and more peaceful than the Twelve Apostles just down the road. There is also a beach, but it is the multitude of rugged islands that makes this place well worth visiting.	
Cape Byron  	Cape Byron Walking Track, Byron Bay NSW 2481	Byron Bay	NSW	Aus	1300 072 757	www.nationalparks.nsw.gov.au	-28.6336517	153.6380415	3	Beach	beach.png	Y	And this is basically as far as you can go.	
Brighton Beach	Esplanade, XGJ7+9V Brighton, South Australia	Brighton	SA	Aus	Nil	Nil	-35.0196436	138.5146948	5	Beach	beach.png	Y	One of the better beaches in Adelaide. In fact probably my favourite. Lots of memories	
Wategos Beach	Marine Pde, Byron Bay NSW 2481	Byron Bay	NSW	Aus	Nil	Nil	-28.6359766	153.6342784	3	Beach	beach.png	Y	Basically a surfer’s beach. Much quieter and out of the way.	
Coffs Harbour Beach	Jordan Esplanade, Coffs Harbour NSW 2450	Coffs Harbour	NSW	Aus	Nil	Nil	-30.3037316	153.1414761	3	Beach	beach.png	Y	Decent beach and a number of facilities. Sheltered as well. A bit of a hike from the town centre however.	
Resolute Beach	Ku-Ring-Gai Chase NSW 2084	Ku-Ring-Gai Chase	NSW	Aus	(02) 9472 8949	www.nationalparks.nsw.gov.au	-33.5847264	151.3068243	2	Beach	beach.png	Y	Not one of the greatests. Easier to get to by boat than walking, but it is quiet. No facilities though.	
West Head Beach	Ku-Ring-Gai Chase NSW 2084	Ku-Ring-Gai Chase	NSW	Aus	(02) 9472 8949	www.nationalparks.nsw.gov.au	-33.581429	151.3088265	1	Beach	beach.png	Y	Small, rocky, but quiet, and a nightmare to reach by foot.	
Wollongong Beach	Marine Drive, Wollongong NSW 2500	Wollongong	NSW	Aus	Nil	Nil	-34.4268493	150.904533	3	Beach	beach.png	Y	Not one of the best. Little in the way of facilities. Also close to steel mills.	
Daily Planet Comics	148a Brisbane St, Ipswich QLD 4305	Ipswich	Qld	Aus	(07) 3496 1415	Nil	-27.6144447	152.7566727	3	Beach	beach.png	N	Pretty decent comic book store, Good variety with some t-shirts as well. Basically only comics though.	
Glenelg Beach	Jetty Rd, Glenelg SA 5045	Glenelg	SA	Aus	(08) 8294 5833	www.glenelgsa.com.au	-34.9800775	138.5099055	2	Beach	beach.png	Y	Great as a tourist hot spot, not so much as a beach. Crowded, no waves, and shallow water. Brighton (and Henley to an extent) are much better.	
Grange Beach	The Esplanade, Grange SA 5022	Henley Beach	SA	Aus	Nil	Nil	-34.9051589	138.4887657	4	Beach	beach.png	Y	Nice beach, not too crowded and some good facilities as well. Close to train line as well.	
Palm Beach	Gold Coast Hwy, Palm Beach QLD 4221	Burleigh Heads	Qld	Aus	(07) 5582 8211	www.goldcoast.qld.gov.au	-28.116266	153.4713982	3	Beach	beach.png	Y	Nice quiet beach with some decent waves.	
